user_id,final_group,perk
94883,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
101486,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
101961,business_booker,"Lounge access, priority boarding & check in"
106907,business_booker,"Lounge access, priority boarding & check in"
118043,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
125845,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
133058,business_booker,"Lounge access, priority boarding & check in"
152583,business_booker,"Lounge access, priority boarding & check in"
153982,business_booker,"Lounge access, priority boarding & check in"
160754,business_booker,"Lounge access, priority boarding & check in"
164522,business_booker,"Lounge access, priority boarding & check in"
167852,window_shopper,"15% book now voucher, info mails about chosen destinations"
171470,window_shopper,"15% book now voucher, info mails about chosen destinations"
174997,business_booker,"Lounge access, priority boarding & check in"
175032,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
181157,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
182191,window_shopper,"15% book now voucher, info mails about chosen destinations"
187212,business_booker,"Lounge access, priority boarding & check in"
189676,family_on_vacation,"Free bags, free meals in hotels, family priority boarding, toys for plane flight"
190866,business_booker,"Lounge access, priority boarding & check in"
195192,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
204943,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
204997,business_booker,"Lounge access, priority boarding & check in"
205044,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
206011,business_booker,"Lounge access, priority boarding & check in"
216796,window_shopper,"15% book now voucher, info mails about chosen destinations"
217114,window_shopper,"15% book now voucher, info mails about chosen destinations"
217136,business_booker,"Lounge access, priority boarding & check in"
220725,business_booker,"Lounge access, priority boarding & check in"
224996,business_booker,"Lounge access, priority boarding & check in"
226367,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
228195,window_shopper,"15% book now voucher, info mails about chosen destinations"
228872,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
229009,weekend_tripper,"Romantic candle light dinner, champaign on the room, rebate for room upgrade"
229330,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
232647,young_budget_travellers,"Seasonal discounts during school-breaks, free bags"
249521,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
252835,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
258451,premium_booker,"Lounge access, priority boarding & check in, limo-pick-up-service, 50% on seat upgrade"
276512,business_booker,"Lounge access, priority boarding & check in"
281952,business_booker,"Lounge access, priority boarding & check in"
283325,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
290123,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
297546,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
298253,business_booker,"Lounge access, priority boarding & check in"
299476,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
306165,window_shopper,"15% book now voucher, info mails about chosen destinations"
306819,premium_booker,"Lounge access, priority boarding & check in, limo-pick-up-service, 50% on seat upgrade"
312488,business_booker,"Lounge access, priority boarding & check in"
313724,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
316527,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
317688,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
322867,business_booker,"Lounge access, priority boarding & check in"
324191,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
328590,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
330764,business_booker,"Lounge access, priority boarding & check in"
330893,business_booker,"Lounge access, priority boarding & check in"
331039,business_booker,"Lounge access, priority boarding & check in"
334787,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
337227,premium_booker,"Lounge access, priority boarding & check in, limo-pick-up-service, 50% on seat upgrade"
338086,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
340166,premium_booker,"Lounge access, priority boarding & check in, limo-pick-up-service, 50% on seat upgrade"
343928,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
347778,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
348817,business_booker,"Lounge access, priority boarding & check in"
349132,vip,"Lounge access, priority boarding & check in, limo-pick-up-service"
350648,young_budget_travellers,"Seasonal discounts during school-breaks, free bags"
