user_id,age,gender,is_married,has_children_clean,home_country,home_city,home_airport,sign_up_date,signed_up_days,last_booking_date,sessions_cnt,sessions_browsing_cnt,sessions_canceling_cnt,sessions_booking_cnt,page_clicks_total,page_clicks_clicks_browsing,page_clicks_canceling,page_clicks_booking,sessions_with_discount_offer_cnt,session_duration_sec,sum_days_between_booking_and_departure,trips_booked_all,trips_booked_canceled,trips_booked_not_canceled,flights_booked_not_canceled,return_flights_booked_not_canceled,hotels_booked_not_canceled,trips_booked_with_discount_not_canceled,trips_booked_without_discount_not_canceled,cnt_last_minute_bookings_not_canceled,cnt_weekend_trips_not_canceled,cnt_is_during_week_trip,sum_travel_duration_days_not_canceled,days_between_booking_and_departure_not_canceled,sum_nights_not_canceled,sum_rooms_not_canceled,sum_total_hotel_price_before_discount_before_canceled,sum_total_hotel_price_after_discount_before_canceled,sum_total_hotel_price_after_discount_after_canceled,cnt_hotel_booking_cheap,cnt_hotel_booking_premium,sum_seats_not_canceled,sum_checked_bags_not_canceled,sum_flight_distance_km_not_canceled,sum_total_flight_price_before_discount_before_canceled,sum_total_flight_price_after_discount_before_canceled,sum_total_flight_price_after_discount_after_canceled,cnt_flight_booking_cheap,cnt_flight_booking_premium,sum_total_trip_price_before_discount_before_cancel,sum_total_trip_price_after_discount_before_cancel,sum_total_trip_price_after_discount_after_cancel,is_age_below20,is_age_between_20_and_60,is_age_above60,cancellation_rate,avg_sum_seats_not_canceled,avg_sum_nights_not_canceled,avg_sum_rooms_not_canceled,avg_flight_distance,avg_sum_days_between_booking_and_departure,ratio_trips_booked_with_discount_to_total,avg_total_hotel_price_after_discount_after_canceled,avg_sum_total_flight_price_per_seat_after_discount_after_cancel,avg_sum_checked_bags_not_canceled,ratio_hotel_to_flight_trips,ratio_during_week_trip_to_all,ratio_weekend_trip_to_all,ratio_cheap_hotels_flights_booked_to_all,ratio_premium_hotels_flights_booked_to_all
94883,53.0,F,1,0,usa,kansas city,MCI,2022-02-07,537.0,2023-05-28 17:28:00,12,9,0,3,100,44,0,56,3,746.0,181.0,3,0,3,3,3,2,0,3,2.0,0,1,13.0,181.0,2.0,3.0,230.0,230.0,230.0,1,0,5.0,3.0,15100.698782541705,5354.86,5354.86,5354.86,0,1,5584.86,5584.86,5584.86,0,1,0,0.0,1.67,1.0,1.5,5033.57,60.33,0.0,930.81,1070.97,1.0,0.67,0.33,0.0,0.2,0.2
101486,52.0,F,1,1,usa,tacoma,TCM,2022-02-17,527.0,2023-07-18 09:35:00,13,8,1,4,340,96,156,88,5,8574.0,185.0,4,1,3,2,2,3,1,2,2.0,0,0,7.0,17.0,10.0,4.0,6307.0,6307.0,2387.0,0,1,2.0,1.0,1930.6811358283758,3177.27,2887.0515,351.7425,0,0,9484.27,9194.0515,2738.7425,0,1,0,0.25,1.0,3.33,1.33,965.34,61.67,0.33,68.47,175.87,0.0,1.5,0.0,0.0,0.0,0.2
101961,44.0,F,1,0,usa,boston,BOS,2022-02-17,527.0,2023-06-22 13:27:00,12,5,0,7,218,56,0,162,4,1625.0,36.0,7,0,7,6,6,7,1,6,6.0,1,0,26.0,36.0,24.0,7.0,3348.0,3348.0,3348.0,1,0,6.0,3.0,10801.494260870331,1929.2,1924.233,1924.233,3,2,5277.2,5272.233,5272.233,0,1,0,0.0,1.0,3.43,1.0,1800.25,5.14,0.14,31.38,320.71,0.0,1.17,0.0,0.14,0.31,0.15
106907,46.0,F,1,1,usa,miami,TNT,2022-02-24,520.0,2023-03-24 18:09:00,14,10,1,3,368,192,81,95,3,7027.320529,229.0,3,1,2,1,0,2,1,1,1.0,0,0,0.0,5.0,12.0,2.0,6488.0,6442.2,2185.2,0,0,1.0,1.0,2044.991765852893,14067.57,14067.57,165.51,0,0,20555.57,20509.77,2350.71,0,1,0,0.33,1.0,6.0,1.0,2044.99,114.5,0.5,97.95,165.51,1.0,2.0,0.0,0.0,0.0,0.0
118043,53.0,F,0,1,usa,los angeles,LAX,2022-03-10,504.0,2023-07-15 02:05:00,13,6,1,6,210,35,26,149,7,2947.411729,222.0,6,1,5,3,3,4,3,2,3.0,0,0,14.0,26.0,22.0,5.0,5811.0,5616.45,5616.45,1,1,6.0,3.0,7365.073526659248,2398.8,2398.8,2339.29,0,1,8209.8,8015.25,7955.74,0,1,0,0.17,2.0,5.5,1.25,2455.02,44.4,0.6,72.32,389.88,1.0,1.33,0.0,0.0,0.14,0.29
125845,41.0,F,1,0,usa,el paso,BIF,2022-03-19,495.0,2023-07-20 13:15:00,13,7,1,5,340,59,128,153,5,8782.0,258.0,5,1,4,4,4,4,2,2,4.0,0,1,13.0,34.0,7.0,5.0,5121.0,5100.2,876.2,1,0,5.0,2.0,10861.640049467685,7354.7,7173.857,2067.717,0,0,12475.7,12274.057,2943.917,0,1,0,0.2,1.25,1.75,1.25,2715.41,64.5,0.5,84.11,413.54,0.0,1.0,0.25,0.0,0.13,0.0
133058,20.0,F,0,0,usa,austin,AUS,2022-03-27,487.0,2023-07-16 20:27:00,13,11,0,2,113,81,0,32,4,849.0,6.0,2,0,2,1,1,1,1,1,1.0,0,0,4.0,6.0,5.0,1.0,1025.0,871.25,871.25,0,0,1.0,0.0,2708.294381612006,423.51,423.51,423.51,0,0,1448.51,1294.76,1294.76,0,1,0,0.0,1.0,5.0,1.0,2708.29,3.0,0.5,258.95,423.51,0.0,1.0,0.0,0.0,0.0,0.0
152583,38.0,F,0,0,usa,colorado springs,COS,2022-04-17,467.0,2023-06-05 21:34:00,10,7,1,2,202,120,27,55,4,2959.559489,288.0,2,1,1,1,1,1,0,1,1.0,0,0,5.0,8.0,2.0,1.0,426.0,426.0,426.0,0,0,1.0,2.0,2178.789038455097,4987.66,4987.66,367.83,0,0,5413.66,5413.66,793.83,0,1,0,0.5,1.0,2.0,1.0,2178.79,288.0,0.0,396.92,367.83,2.0,1.0,0.0,0.0,0.0,0.0
153982,46.0,F,0,1,canada,toronto,YKZ,2022-04-19,465.0,2023-07-20 20:37:00,11,5,1,5,253,42,64,147,2,5301.612564,263.0,5,1,4,4,4,4,0,4,4.0,0,1,18.0,39.0,12.0,4.0,4766.0,4766.0,1913.0,1,1,4.0,3.0,4568.753687776709,2872.34,2872.34,789.96,3,0,7638.34,7638.34,2702.96,0,1,0,0.2,1.0,3.0,1.0,1142.19,65.75,0.0,56.31,197.49,0.0,1.0,0.25,0.0,0.5,0.13
160754,47.0,F,1,1,usa,new york,LGA,2022-04-26,458.0,2023-06-26 19:58:00,10,7,1,2,294,64,200,30,2,7909.0,291.0,2,1,1,1,1,1,0,1,1.0,0,0,4.0,11.0,2.0,1.0,428.0,428.0,428.0,0,0,1.0,1.0,526.1200403921746,5581.16,5581.16,93.62,1,0,6009.16,6009.16,521.62,0,1,0,0.5,1.0,2.0,1.0,526.12,291.0,0.0,260.81,93.62,1.0,1.0,0.0,0.0,0.5,0.0
